Id,Designator,Footprint,Quantity,Designation,Supplier and ref,,
1,"R11,R22,R20,R21,R14,R12,R9,R17,R19,R18,R23,R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,12,330Ω,https://m-teh.com.ua/ru/rezistor-330r-0.25w-cfr-5,,
2,"R4,R6,R8,R7,R5,R3,R2,R1",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,8,50Ω,https://m-teh.com.ua/ru/rezistor-56r-0.25w-cfr-5,,
6,"C3,C1,C2",C_Disc_D4.7mm_W2.5mm_P5.00mm,3,1nF,https://m-teh.com.ua/ru/kondensator-mcc-0.1uf-50v-x7r-10/,,
7,C4,CP_Radial_D7.5mm_P2.50mm,1,4.7uF,https://m-teh.com.ua/ru/kondensator-ze-330uf-10v-69-[polimerniy]/,,
8,"J1,J2,J3",PinHeader_1x03_P2.54mm_Horizontal,3,Sensors,https://m-teh.com.ua/ru/pls1x40-zl201-40g/,,
9,"U4,U5,U3",DA08-11,3,DA08-11SURKWA,https://m-teh.com.ua/ru/indikator-2-rozryadi-0.8chervoniy-anod-chorniy-fon-kl-8021-bsr/,,
10,"R10,R16,R13",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,100KΩ,https://m-teh.com.ua/ru/rezistor-100k-0.25w-cfr-5,,
11,"Q3,Q1,Q2,Q4,Q6,Q5",TO-92_Inline,6,2N2907,https://m-teh.com.ua/ru/tranzistor-2n2907/,,
12,U2,RPi_Pico_SMD_TH,1,Pico,https://arduino.ua/prod4358-raspberry-pi-pico,,
13,"SW1,SW2,SW3",SW_PUSH_6mm_H13mm,3,Buttons,https://m-teh.com.ua/ru/knopka-taktova-tact-6x6-7.5,,
16,U1,DIP-18_W7.62mm,1,ULN2803A,https://m-teh.com.ua/ru/sborka-tranzystorov-uln2803apg,,